"route_input_hash","route_file_sha256","map","hard_certificate_passed","policy_id","build_family","vehicle_profile_id","vehicle_profile_fingerprint","axle_count","hard_failure_reasons","failure_reasons_union","point_count","route_length_m"
"5170faa9bbfca2ac6291bfe76236608179409ed7c6cc1addd5b181ace3860955","3050b9005c85d470d29ad8c64273dc45cc7aa6a31c7886bf039a0daab7e4f7bc","bridge_4","1","[-0.3, null, 0.18, 1.02]","6axles","six_axis","d46c9e86aea3de5c8e980dc8c9c47b3c646827643d17e3495dd2c25c5ef1f91a","6.0","","","1078","215.24718946308448"
"67eb272020ab624bc9a8217fa9f5424602acdb8e4e8271fac821a7c49ab8216a","7c129279dac30e890d91d14f9f9949b2edd3e3e691d19c9d27f160ecbf1e9110","bridge_4","1","[-0.3, null, 0.18, 1.02]","6axles","six_axis","d46c9e86aea3de5c8e980dc8c9c47b3c646827643d17e3495dd2c25c5ef1f91a","6.0","","","1078","215.24718946308448"
"6a4cbbe69bf9835b48481ec26ee56bc117af0ac324843c7d3c1df23dca779e40","bdac87eb3632499a99fc244734c6d2626c9b2b986a236ddd39cd5277cd65386a","bridge_4","1","[-0.3, null, 0.18, 1.02]","6axles","six_axis","d46c9e86aea3de5c8e980dc8c9c47b3c646827643d17e3495dd2c25c5ef1f91a","6.0","","","1078","215.24718946308448"
"8ed7f762ea23ef7442610dfe171cd75dca1bcd402b26759ef7ba3bb90891dd2e","0e3ae377c951c74a6a2f72c3a3441f102d97f746e9298d29538102ec8e8fa1ca","bridge_4","1","[-0.3, null, 0.18, 1.02]","6axles","six_axis","d46c9e86aea3de5c8e980dc8c9c47b3c646827643d17e3495dd2c25c5ef1f91a","6.0","","","1063","212.38138547425845"
"d0e8b820e6cc2b814a082ef3fa230f174e8687bd8122e5b1237ebf9dcce2c6f7","623f3fa4f7f9dfbf901e9fd6dd7fe76b1a719724cbf575f3591ae19d9e969450","bridge_4","1","[-0.3, null, 0.18, 1.02]","6axles","six_axis","d46c9e86aea3de5c8e980dc8c9c47b3c646827643d17e3495dd2c25c5ef1f91a","6.0","","","1063","212.38138547425845"
"f2ca55f19dd05f78abf48029b4d66a7c93c89719257d8d1c5e271b5294805197","52a1daf93d989e61e643cff75516ddb43de147f826b71c8c532e27fb91c3fc8c","cliff_1","1","[0.05, 0.005, 0.18, 1.02]","5axles","five_axis","ee1b968983f0d0d8305b5afc24afd9ea65d17027e1bebdab5f8bd2dae19edfc5","5.0","","","677","135.01434748708945"
"2d7ce40486c60d2d137ed6adeb8367373397214e6553d2e5489c4446b825a2c5","f5e4bf63abbb63dc9c26123f0ad0b6a6ed4a614c79b5323ad34354fbf132b4b5","cliff_1","1","[0.05, null, 0.18, 1.02]","six_axis_fullmatch_coldstart_v3_20260818","six_axis","62e09ce1c354da04844bfb936547ff8d53f08d0cfe2f2f513ceefe715e12ef97","6.0","","","677","135.01434748708945"
"05f234e93e864c0fc7b1119852992001ca90ad87982b88b7e816d887024f52f0","daec16bcc1cac85289c5a55a6c014dd9f7a56e75f78223b058dbe7d9b8f059ba","cliff_1","0","[0.05, null, 0.18, 1.02]","official_physics_p4_cliff1_certified_20260816","","","","maximum_slip_ratio","maximum_slip_ratio","677","135.0018981155978"
"24978b86e24b81e34476892bd79e0f7b50a6002735c33c2a8c658125cebb0169","4cc71878fcf5571f27bee05ceb91decd793b46e9441c62990e4a9b042a1fff38","cliff_1","0","[0.05, null, 0.18, 1.02]","official_physics_p4_cliff1_certified_20260816","","","","maximum_slip_ratio","maximum_slip_ratio","677","135.0060992485745"
"3f9c47d5d92ecdd1844ec20540f47cb1e26b85e963fef18323612083f7e76dc6","c1d145e5148bc28ef52ab4b0b6831ff1e750212f7b03b889f0b29382124a0658","cliff_1","0","[0.05, null, 0.18, 1.02]","official_physics_p4_cliff1_certified_20260816","","","","maximum_slip_ratio","maximum_slip_ratio","676","134.99373687114758"
"7bb72cd650468f3565755ec2c5f71e5bc0e99f376ce998d11c344f8b6b2ec584","aafdaf2788224af75a428bcc9caaa98eb91c6f46cbf827be6d74712a44f990cc","cliff_1","0","[0.05, null, 0.18, 1.02]","official_physics_p4_current_runtime_cliff1_20260816","","","","maximum_slip_ratio","maximum_slip_ratio","677","135.01447857396928"
"80a17e12e6fbf70dfbec973fcaee552b27bfe62cab87ece6cc407886a245ba58","d2f69d6f822b707b7e62e41cf708049d339edc74d7ef1c5dc3e63ff1f069983d","cliff_1","0","[0.05, null, 0.18, 1.02]","closed_loop_gate_smoke_cliff1_v2_20260811","","","","closed_loop_txt_clearance","closed_loop_txt_clearance","677","135.01447857396928"
"984d88e31eaab3a8519da23d67ad2a815c42423dbdabfa2a87c0a8d8fa47e02e","e3f8db2775b4a23065081016c5ff12803ab6041c5cc715b36d1142b0d70c3028","cliff_1","0","[0.05, null, 0.18, 1.02]","official_physics_p4_current_runtime_cliff1_20260816","","","","maximum_slip_ratio","maximum_slip_ratio","677","135.01447857396928"
"aeb82a22a7d3b1c9c75479eb08ebc8139738f82814b50192910ebca67275f553","18783476c8b6069e395a0afed76aa26ba0ef2a2de9101cfc01af7f7ae1548648","cliff_1","0","[0.05, null, 0.18, 1.02]","official_physics_p4_cliff1_certified_20260816","","","","maximum_slip_ratio","maximum_slip_ratio","677","135.00879025037986"
"ca1d3cc885cf60ff853918980bbc1d3226c975a52cbbf127102051ab23a930b6","d2b2843744d1b4fb3f687e89db8a0158d5b79c067888901907cd197a0cb730e9","cliff_1","0","[0.05, null, 0.18, 1.02]","official_physics_p4_cliff1_certified_20260816","","","","maximum_slip_ratio","maximum_slip_ratio","677","135.00554363496988"
"441d18fe3a1bee3f1edd648bd6ad5f167c81809df963db6a026dbd9cdaa175b3","69d9fdccdce59a4cba03e52208f37e2e68fa78ff5bc2e533fc151e3986d9b0a5","cliff_1","1","[0.05, null, 0.18, 1.02]","B_cold_start_relaxed_12maps_20260815","","","","","","677","135.01434748708945"
"904eb497d79d4b0b3ec9ea7bda4c1f999cde7b8c77fb016be77ed624a6f53daf","330efee520bd65acfcf39806ff304cafe293aca3ddec26084c01c298306414fd","cliff_1","1","[0.05, null, 0.18, 1.02]","official_physics_p4_cliff1_certified_v2_20260816","","","","","","677","135.00091762374558"
"e0a26175a8e438e0b829544995955054e0c39646756415fb899cd2fa64500e6f","8cecba023f567c86631bb6efdec36aa8b7ce5efdf77e0b50be70e78e4ec06fce","cliff_1","1","[0.05, null, 0.18, 1.02]","B_cold_start_relaxed_12maps_20260815","","","","","","677","135.01439021460007"
"f6f94e1a71bc74bc4362fb0bf359fe42d7ac0c9fae4e7362d0ef3b6b9d29cbd5","6cd00a0caab5793c09c10a0aa2cad19fa415c95499a2a084d2ccb6e4608ec032","cliff_1","1","[0.05, null, 0.18, 1.02]","official_physics_p4_cliff1_certified_v2_20260816","","","","","","677","135.0062653612138"
"4460c0c8ca563d81f2f07336bc80693024c4e91af9c0443ca3954742afe8fd48","b59a7a18dae425ac2db14475d8e3b68839b8bfc1d557ef1d38efcae9b45f4b74","cliff_2","1","[0.05, 0.005, 0.18, 1.02]","5axles","five_axis","ee1b968983f0d0d8305b5afc24afd9ea65d17027e1bebdab5f8bd2dae19edfc5","5.0","","","2894","578.503774685135"
"e64ada390960931823a56f060df7eab257b1efdae9089de02e647ce1cdad5d8d","faf7d4bff6436aaa7f9eeec761dfcd7a45d4b814d47e09938086f12427465cc9","cliff_2","1","[0.05, null, 0.18, 1.02]","six_axis_fullmatch_coldstart_v3_20260818","six_axis","62e09ce1c354da04844bfb936547ff8d53f08d0cfe2f2f513ceefe715e12ef97","6.0","","","2894","578.5036824313657"
"6c1c8326517a0d4a200ad82f1e1d2511d4ba93759a81b508fcce1294ad215f2d","a41173239800d31845400afe9691bc953268babb2a5fe50462925764a21476bc","cliff_2","1","[0.05, null, 0.18, 1.02]","official_physics_p4_remaining8_releasegate_20260816","","","","","","2894","578.5037345913842"
"703f9331a95873c9d544feccf0cc6536bfac817be3aaf29717bcd7dbe933a245","545a51651fda7d4de88de4a45ec4c3eb02963c8f71212ca0723f9473460b7f9e","cliff_2","1","[0.05, null, 0.18, 1.02]","B_cold_start_relaxed_12maps_20260815","","","","","","2894","578.5036824313657"
"8123775a626104eb03f680666283765a1ec2c2af54825580e4640a11ff07e78e","f6fffc637d19fa0b7ac0409a140853ced00b11f98b8da353a7830a2f2c2b43c5","cliff_2","1","[0.05, null, 0.18, 1.02]","official_physics_p4_remaining8_releasegate_20260816","","","","","","2894","578.5036824313657"
"85afddb1dc7f7202c832f365de2d89bc9f12d1fe431f2f71a0f44af77a244f54","bb70364afe6277189e7a4333c72e9dd5c390df4937f355645c2ab9103e5b761a","cliff_2","1","[0.05, null, 0.18, 1.02]","p4_cliff2_high_feedback_20260811","","","","","","2895","578.7186951397741"
"93cb11490030891862cdb624408b1ebc1aa6c1785cdee98496c647e46257c0ba","8ed919398079830cd43c51327d3947d619fd580b081133517feceb33a8c9fab5","cliff_2","1","[0.05, null, 0.18, 1.02]","B_cold_start_relaxed_12maps_20260815","","","","","","2894","578.5037345913842"
"0f92208cdf83e8ebb1ee0545452bc6025612a609e21243d355d0c2e9be70ed9d","bfcc991e8c7381fe4833af74251565e8160be3e745f718938f775bb8829430b8","cliff_3","0","[0.05, null, 0.18, 1.45]","5axles","five_axis","ee1b968983f0d0d8305b5afc24afd9ea65d17027e1bebdab5f8bd2dae19edfc5","5.0","maximum_slip_ratio|maximum_tire_utilization","maximum_slip_ratio|maximum_tire_utilization","1152","229.7606818678081"
"178efe68a3317c9d744ca4465355f7a7cfbb901e9cbe29be90fdbc849bbe20e8","a7f5d776ff2c2d205bdfdc847598cd66788319e62c062855a89749b342bb94c7","cliff_3","0","[0.05, null, 0.18, 1.3]","5axles","five_axis","ee1b968983f0d0d8305b5afc24afd9ea65d17027e1bebdab5f8bd2dae19edfc5","5.0","maximum_slip_ratio|maximum_tire_utilization","maximum_slip_ratio|maximum_tire_utilization","1152","230.07450975439608"
"2460dbda78292b33a093ac09cfec63e01845cfd27b288db8c8f1c7ec47421d75","c1f8fcd5a448e140374b12167f78a23db9f4948fc798c5b606eb02057d19e685","cliff_3","0","[0.05, null, 0.18, 1.45]","5axles","five_axis","ee1b968983f0d0d8305b5afc24afd9ea65d17027e1bebdab5f8bd2dae19edfc5","5.0","maximum_slip_ratio|maximum_tire_utilization","maximum_slip_ratio|maximum_tire_utilization","1152","230.37828662321922"
"566b0d649dc06dfa5ff0bceaae4e017f45a7b9f59b68418018efc43fe87c6d16","7ab42aba6c628b1b9a33be3890dd4e56938650e875459913da02d0feea50c9a6","cliff_3","0","[0.05, null, 0.18, 1.45]","5axles","five_axis","ee1b968983f0d0d8305b5afc24afd9ea65d17027e1bebdab5f8bd2dae19edfc5","5.0","maximum_slip_ratio|maximum_tire_utilization","maximum_slip_ratio|maximum_tire_utilization","1152","229.97978492755286"
"56efd8fb18438a284bc4c612c1af2e40da4c0f8c8b6359bd28fb0f081d177f1d","e931514e484e2b9ce14edd8c39fe0ca7a529e1df7355024f89e625b619edc6f5","cliff_3","0","[0.05, null, 0.18, 1.45]","5axles","five_axis","ee1b968983f0d0d8305b5afc24afd9ea65d17027e1bebdab5f8bd2dae19edfc5","5.0","maximum_slip_ratio|maximum_tire_utilization","maximum_slip_ratio|maximum_tire_utilization","1152","229.51357926432726"
"574059e3a9f8393b64a452fe23c8ec083c896276c880f1acc3c48412daa9e0f8","f8b95cfec658b95414d4b38bbd0271935eaf9d6e11ee3f62640724182ce93af4","cliff_3","0","[0.05, null, 0.18, 1.45]","5axles","five_axis","ee1b968983f0d0d8305b5afc24afd9ea65d17027e1bebdab5f8bd2dae19edfc5","5.0","maximum_slip_ratio|maximum_tire_utilization","maximum_slip_ratio|maximum_tire_utilization|route_not_completed","1152","230.07450975439608"
"69eedd5d0449f8b25baf55077d5d9fe248eea010f016cb10d543b2db83d98fc7","4c57762c39eee6ac1760ac36666d8cb7bde9815d51f1cb5b2d155e973070bdca","cliff_3","0","[0.05, null, 0.18, 1.45]","5axles","five_axis","ee1b968983f0d0d8305b5afc24afd9ea65d17027e1bebdab5f8bd2dae19edfc5","5.0","maximum_slip_ratio|maximum_tire_utilization","maximum_slip_ratio|maximum_tire_utilization","1152","229.27000694759067"
