sample_key,classification,map,report_path_local,route_path_local,build_family,report_file_sha256,route_file_sha256,route_input_hash,hard_certificate_passed,hard_failure_reasons,completed,policy_id_or_thresholds,dynamic_pcd_clearance_m,maximum_slip_ratio,maximum_tire_utilization,maximum_abs_lateral_error_m,maximum_abs_heading_error_deg,vehicle_profile_id,vehicle_profile_fingerprint,axle_count,wheel_count,steer_ff_rad_second_dimension,vehicle_structure,identity_evidence,route_length_m,point_count,modified_time,source_machine,file_size_bytes,transfer_recommended,parse_status,error
d1f395b6e1c94cd9,new_route_without_label,cliff_6,,E:\BaiduNetdiskDownload\使命召唤\C-TURE\six_axis\race_guidance_control\routes\cliff_6.npz,six_axis/race_guidance_control/routes,,d1f395b6e1c94cd9eb29019d393e513762442a2d6a9c096096b78ce7fe610474,a5eca29d5c4015a49a7ea133956f0d6820976e102e2fbb2535f4189b55decaa5,,,,,,,,,,six_axis,2e3182561ba5e89c98d721a253abf5be43e49567568c38d74246acf3ab860f79,,12,12,six_axis_explicit,explicit_profile_id,273.687074,1370,2026-08-24T00:43:18+08:00,LEGION,253970,true,ok,
402c4af3a7ab695a,new_route_without_label,cross_3,,E:\BaiduNetdiskDownload\使命召唤\C-TURE\six_axis\race_guidance_control\routes\cross_3.npz,six_axis/race_guidance_control/routes,,402c4af3a7ab695a602a3f994e214ecd9d8b8e3f8be4708fe9493c0e131919a3,b8040c86fd9aa76bf76f139d54cec529f9e9b7153544516bd168909dde63132b,,,,,,,,,,six_axis,2e3182561ba5e89c98d721a253abf5be43e49567568c38d74246acf3ab860f79,,12,12,six_axis_explicit,explicit_profile_id,383.962868,1946,2026-08-21T01:06:26+08:00,LEGION,300312,true,ok,
2b110d3ed5565dfc,new_route_without_label,cross_4,,E:\BaiduNetdiskDownload\使命召唤\C-TURE\six_axis\race_guidance_control\routes\cross_4.npz,six_axis/race_guidance_control/routes,,2b110d3ed5565dfcfdcf445d4f008c70930df7090b2e7b06ba15f04adec7a209,45d0f3e13deabe3e35e904cbde6a2ce41781d98d9269d6566f2ce737c9526abd,,,,,,,,,,,,,,12,six_axis_structural,steer_vector_dimension,291.715349,1460,2026-08-23T00:27:48+08:00,LEGION,275880,true,ok,
0612666358035b0f,new_route_without_label,mounarea_3,,E:\BaiduNetdiskDownload\使命召唤\C-TURE\six_axis\race_guidance_control\routes\mounarea_3.npz,six_axis/race_guidance_control/routes,,0612666358035b0f27fc0fd5abfc4ca7893a478cf2c5b5fa41e9d8e9addde0c2,53f38302dc170d719a2fa8286ab41ef71fd8dceebee2f4e29ddd2e64ad373bb9,,,,,,,,,,six_axis,2e3182561ba5e89c98d721a253abf5be43e49567568c38d74246acf3ab860f79,,12,12,six_axis_explicit,explicit_profile_id,1589.8609,7951,2026-08-20T23:52:18+08:00,LEGION,1619607,true,ok,
5af8e85b784abd44,new_route_without_label,mounarea_6,,E:\BaiduNetdiskDownload\使命召唤\C-TURE\six_axis\race_guidance_control\routes\mounarea_6.npz,six_axis/race_guidance_control/routes,,5af8e85b784abd440e6a94696c5266786669d964a7e3ccef8131b5086faddd4f,1ccb3ec27cecb56d02bb9cbce30b29247314dbe88206b4f5d962b1b23028c624,,,,,,,,,,six_axis,2e3182561ba5e89c98d721a253abf5be43e49567568c38d74246acf3ab860f79,,12,12,six_axis_explicit,explicit_profile_id,1083.47188,5418,2026-08-24T06:36:20+08:00,LEGION,1174267,true,ok,
8b2e7c13886a99f4,new_route_without_label,narrow_4,,E:\BaiduNetdiskDownload\使命召唤\C-TURE\six_axis\race_guidance_control\routes\narrow_4.npz,six_axis/race_guidance_control/routes,,8b2e7c13886a99f45a37ffefb8f1f51afc9f576a9e83480095432f608ce5dd74,73a5c51ca44c5eacd9f42b6a573bca0e7834e9ef6477b1b3c50a3721c4d89ab9,,,,,,,,,,,,,,12,six_axis_structural,steer_vector_dimension,229.330791,2288,2026-08-23T23:49:36+08:00,LEGION,511317,true,ok,
bdbfd3974b302da3,new_route_without_label,ramp_3,,E:\BaiduNetdiskDownload\使命召唤\C-TURE\six_axis\race_guidance_control\routes\ramp_3.npz,six_axis/race_guidance_control/routes,,bdbfd3974b302da3d3aebb4799edb19eb5015b911e5b5e3f23322de01a5dfeaa,bf54c7ded6b202902b56946c027d5f02e3abc13bed87da018e54d14cb8b23b6a,,,,,,,,,,six_axis,2e3182561ba5e89c98d721a253abf5be43e49567568c38d74246acf3ab860f79,,12,12,six_axis_explicit,explicit_profile_id,1187.14712,5937,2026-08-19T17:40:28+08:00,LEGION,1044258,true,ok,
aaac3382a0880116,new_route_without_label,ramp_6,,E:\BaiduNetdiskDownload\使命召唤\C-TURE\six_axis\race_guidance_control\routes\ramp_6.npz,six_axis/race_guidance_control/routes,,aaac3382a0880116bc4c5b137001147b07638023b2bb112ffb858704f7daeab9,c61e9e97160dd3570dd85179f4e88eeed0125b3e7f961b411d0e42f78d20790c,,,,,,,,,,six_axis,2e3182561ba5e89c98d721a253abf5be43e49567568c38d74246acf3ab860f79,,12,12,six_axis_explicit,explicit_profile_id,1345.99532,6732,2026-08-21T00:27:08+08:00,LEGION,1455024,true,ok,
0ebee5aa5b5e7bba,new_route_without_label,turnaround_2,,E:\BaiduNetdiskDownload\使命召唤\C-TURE\six_axis\race_guidance_control\routes\turnaround_2.npz,six_axis/race_guidance_control/routes,,0ebee5aa5b5e7bba2a55ddd20f74bac278f680e573c7416afbda024864d74b7f,a4f9479256c67cb3f363054bb421c15b2a27c704e660af824f56655eedae4ce4,,,,,,,,,,six_axis,2e3182561ba5e89c98d721a253abf5be43e49567568c38d74246acf3ab860f79,,12,12,six_axis_explicit,explicit_profile_id,370.69821,1769,2026-08-22T23:35:54+08:00,LEGION,348795,true,ok,
5928b9b07115143c,new_route_without_label,turnaround_4,,E:\BaiduNetdiskDownload\使命召唤\C-TURE\six_axis\race_guidance_control\routes\turnaround_4.npz,six_axis/race_guidance_control/routes,,5928b9b07115143c4de963531b820d1638307820d0bba6aac82ecac5757ab1c8,47b6a64adee5ef45a0829c394ef3c7e8c199700c03ecaac8b62b0989a931d605,,,,,,,,,,,,,,12,six_axis_structural,steer_vector_dimension,351.882176,1761,2026-08-23T19:17:36+08:00,LEGION,322419,true,ok,
