sample_id,route_file_sha256,map_id,vehicle_structure,vehicle_structure_evidence,vehicle_axis_count,label_status,true_label,route_id,match_status,candidate_file_available,npz_readable,source_machine,feature_version,exclusion_reason
UNMATCHED-SHANYU000-68c718ba6d37ee61,68c718ba6d37ee61193feafa4c2b6b9e52fe90223e432de18c0d057c68544cf4,cross_2,five_axis,explicit,5,unmatched_candidate,,cross_2,unmatched_candidate,true,true,SHANYU000_local,pathguard_preexec_v2.0.0,route_file_sha256_and_sample_id_not_found_in_v3
UNMATCHED-SHANYU000-690469122d7bfcf7,690469122d7bfcf7c7e0ac354dfdb4eafceecc08010cbc16c53f24d8f7da5e16,overpass_2,five_axis,explicit,5,unmatched_candidate,,overpass_2,unmatched_candidate,true,true,SHANYU000_local,pathguard_preexec_v2.0.0,route_file_sha256_and_sample_id_not_found_in_v3
UNMATCHED-SHANYU000-690ea2a6a1a77a83,690ea2a6a1a77a83e214227fbcca1368e3c7adfb217bedece5df714c95ae621b,mounarea_2,six_axis,structural_inference,6,unmatched_candidate,,mounarea_2,unmatched_candidate,true,true,SHANYU000_local,pathguard_preexec_v2.0.0,route_file_sha256_and_sample_id_not_found_in_v3
UNMATCHED-SHANYU000-69229c4e997dce45,69229c4e997dce458d29c32b00ee89c06f37d68503307032aed1a6351e0ce00d,overpass_1,unknown,unknown,,unmatched_candidate,,overpass_1,unmatched_candidate,true,true,SHANYU000_local,pathguard_preexec_v2.0.0,route_file_sha256_and_sample_id_not_found_in_v3
UNMATCHED-SHANYU000-6928a0a27b68d3b2,6928a0a27b68d3b21828edbb05991f89311f8b37b6591dc4b288094674e04899,overpass_2,five_axis,explicit,5,unmatched_candidate,,overpass_2,unmatched_candidate,true,true,SHANYU000_local,pathguard_preexec_v2.0.0,route_file_sha256_and_sample_id_not_found_in_v3
UNMATCHED-SHANYU000-694520401c05804a,694520401c05804a7350e7d0be0085e3374e7c9f8907f5546b8d1d5c9483f697,cross_2,five_axis,explicit,5,unmatched_candidate,,cross_2,unmatched_candidate,true,true,SHANYU000_local,pathguard_preexec_v2.0.0,route_file_sha256_and_sample_id_not_found_in_v3
UNMATCHED-SHANYU000-696c498f968f0c27,696c498f968f0c27e9ac4ca4b21344a1f759782810d91d13b54ccd304107f9a8,cross_2,five_axis,explicit,5,unmatched_candidate,,cross_2,unmatched_candidate,true,true,SHANYU000_local,pathguard_preexec_v2.0.0,route_file_sha256_and_sample_id_not_found_in_v3
UNMATCHED-SHANYU000-696ccfbfe4c561ae,696ccfbfe4c561ae59a5b577ea2f07cc266d88dbc80b1158a6cb71cbac8a78be,overpass_2,five_axis,explicit,5,unmatched_candidate,,overpass_2,unmatched_candidate,true,true,SHANYU000_local,pathguard_preexec_v2.0.0,route_file_sha256_and_sample_id_not_found_in_v3
UNMATCHED-SHANYU000-698459f085a20441,698459f085a20441f019bb6ce43f2c948db88fd8706c616a12caf636d0d49ef7,overpass_1,five_axis,explicit,5,unmatched_candidate,,overpass_1,unmatched_candidate,true,true,SHANYU000_local,pathguard_preexec_v2.0.0,route_file_sha256_and_sample_id_not_found_in_v3
UNMATCHED-SHANYU000-69a874e0eb723910,69a874e0eb7239103bccfa0355489349664119a22be52e5bd4f4d29d0c879475,overpass_1,five_axis,explicit,5,unmatched_candidate,,overpass_1,unmatched_candidate,true,true,SHANYU000_local,pathguard_preexec_v2.0.0,route_file_sha256_and_sample_id_not_found_in_v3
UNMATCHED-SHANYU000-69b12781d21b7dcf,69b12781d21b7dcf114a10d8a966af1d79a3b61c89d0d1034f929f11dce33965,,five_axis,explicit,5,unmatched_candidate,,,unmatched_candidate,true,true,SHANYU000_local,pathguard_preexec_v2.0.0,route_file_sha256_and_sample_id_not_found_in_v3
UNMATCHED-SHANYU000-69dc1d509cb6c3be,69dc1d509cb6c3bec2428f6b56e8026836f8a0d59257bec5cad95ccd69a49813,ramp_2,five_axis,explicit,5,unmatched_candidate,,ramp_2,unmatched_candidate,true,true,SHANYU000_local,pathguard_preexec_v2.0.0,route_file_sha256_and_sample_id_not_found_in_v3
UNMATCHED-SHANYU000-69e493d1218c6930,69e493d1218c6930f2fac410e7f4f20e6577899c6f68cea97188bc5f77bc4ec4,cross_1,five_axis,explicit,5,unmatched_candidate,,cross_1,unmatched_candidate,true,true,SHANYU000_local,pathguard_preexec_v2.0.0,route_file_sha256_and_sample_id_not_found_in_v3
UNMATCHED-SHANYU000-69ff02ec9d8d5878,69ff02ec9d8d5878babd7f76cb52aab11d839bd018998327720b7883b465a265,cross_1,five_axis,explicit,5,unmatched_candidate,,cross_1,unmatched_candidate,true,true,SHANYU000_local,pathguard_preexec_v2.0.0,route_file_sha256_and_sample_id_not_found_in_v3
UNMATCHED-SHANYU000-6a77bd5aa3ef71f8,6a77bd5aa3ef71f8f388900f321add20c95ef4e0afea6bf6875e521d2de285f0,overpass_1,six_axis,structural_inference,6,unmatched_candidate,,overpass_1,unmatched_candidate,true,true,SHANYU000_local,pathguard_preexec_v2.0.0,route_file_sha256_and_sample_id_not_found_in_v3
UNMATCHED-SHANYU000-6a8bb0a1f059a78b,6a8bb0a1f059a78b3314e1c2159cbcbf0eefc4313e97b478cdf1748394c4283e,mounarea_1,five_axis,explicit,5,unmatched_candidate,,mounarea_1,unmatched_candidate,true,true,SHANYU000_local,pathguard_preexec_v2.0.0,route_file_sha256_and_sample_id_not_found_in_v3
UNMATCHED-SHANYU000-6a946b5e6973cc4f,6a946b5e6973cc4fbfd99c3eb90e3b55b6a9b0f3fee4656df113b887731cdc18,cross_1,five_axis,explicit,5,unmatched_candidate,,cross_1,unmatched_candidate,true,true,SHANYU000_local,pathguard_preexec_v2.0.0,route_file_sha256_and_sample_id_not_found_in_v3
UNMATCHED-SHANYU000-6aa4cb84d386a7bf,6aa4cb84d386a7bfd3b6417b6f8070703e700f23e610b1ec3a472a1baf348e2e,cross_2,five_axis,explicit,5,unmatched_candidate,,cross_2,unmatched_candidate,true,true,SHANYU000_local,pathguard_preexec_v2.0.0,route_file_sha256_and_sample_id_not_found_in_v3
UNMATCHED-SHANYU000-6aa68e3d543b1f10,6aa68e3d543b1f1077494d63348fb9848f28b0815cdb007d10d0ac3968b324e2,turnaround_2,six_axis,structural_inference,6,unmatched_candidate,,turnaround_2,unmatched_candidate,true,true,SHANYU000_local,pathguard_preexec_v2.0.0,route_file_sha256_and_sample_id_not_found_in_v3
UNMATCHED-SHANYU000-6ab46362686f8c6a,6ab46362686f8c6ad109aae7dc6932ef8d48eb1cdafadc84cb59c407e09d5ec4,mounarea_1,five_axis,explicit,5,unmatched_candidate,,mounarea_1,unmatched_candidate,true,true,SHANYU000_local,pathguard_preexec_v2.0.0,route_file_sha256_and_sample_id_not_found_in_v3
UNMATCHED-SHANYU000-6ab88aaec0a9ae32,6ab88aaec0a9ae32e7dc7f8c5f7fe46a6269d5de693401931f20a18a9065cbe4,overpass_2,five_axis,explicit,5,unmatched_candidate,,overpass_2,unmatched_candidate,true,true,SHANYU000_local,pathguard_preexec_v2.0.0,route_file_sha256_and_sample_id_not_found_in_v3
